ID,Name,Types,Weaknesses,Evolution,HP,Attack,Defense,SpAttack,SpDefense,Speed,HeightM,WeightKg,Generation,Region,FirstLocation,Genus,Bio,Fact
034,Nidoking,"Poison,Ground","Water,Ice,Ground,Psychic",,81,102,77,85,75,85,1.4,62.0,Gen I,Kanto,Route 23 (Lets Go Pikachu),Drill Pokémon,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.","It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
035,Clefairy,Fairy,"Steel,Poison",036,70,45,48,60,65,35,0.6,7.5,Gen I,Kanto,Mt. Moon (Red),Fairy Pokémon,"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality.",Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
036,Clefable,Fairy,"Steel,Poison",,95,70,73,95,90,60,1.3,40.0,Gen I,Kanto,Giant Chasm (Black),Fairy Pokémon,"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away.",A timid fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.
037,Vulpix,Fire,"Water,Ground,Rock",038,38,41,40,50,65,65,0.6,9.9,Gen I,Kanto,Route 7 (Blue),Fox Pokémon,"In its belly burns a fire, which Vulpix spits out in the form of fireballs. When young, this Pokémon has but one white tail. As the Pokémon matures, this single tail splits into six.","At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
038,Ninetales,Fire,"Water,Ground,Rock",,73,76,75,81,100,100,1.1,19.9,Gen I,Kanto,Abundant Shrine (Black),Fox Pokémon,The coat of gleaming golden fur is quite magnificent. This species is said to store sacred power in its nine long tails and to live for a millennium.,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
039,Jigglypuff,"Normal,Fairy","Steel,Poison",040,115,45,20,45,25,20,0.5,5.5,Gen I,Kanto,Route 3 (Red),Balloon Pokémon,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.","When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
040,Wigglytuff,"Normal,Fairy","Steel,Poison",,140,70,45,85,50,45,1.0,12.0,Gen I,Kanto,Cerulean Cave (Red),Balloon Pokémon,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",Has the highest base HP (140) of all 52 Fairy-type Pokémon.
041,Zubat,"Poison,Flying","Electric,Ice,Psychic,Rock",042,40,45,35,30,40,55,0.8,7.5,Gen I,Kanto,Mt. Moon (Red),Bat Pokémon,"Makes its home in gloomy caves. Atrophied eyes have left this Pokémon blind, so it scans its surroundings via sound waves that it emits from its mouth as it flies.",Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
042,Golbat,"Poison,Flying","Electric,Ice,Psychic,Rock",,75,80,70,65,75,90,1.6,55.0,Gen I,Kanto,Victory Road (Red),Bat Pokémon,It sinks its sharp fangs into other creatures and slurps up their blood. A closer look at the fangs reveals that they are hollow and akin to straws.,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
043,Oddish,"Grass,Poison","Fire,Ice,Flying,Psychic",044,45,50,55,75,65,30,0.5,5.4,Gen I,Kanto,Route 5 (Red),Weed Pokémon,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
044,Gloom,"Grass,Poison","Fire,Ice,Flying,Psychic",045,60,65,70,85,75,40,0.8,8.6,Gen I,Kanto,Route 12 (Red),Weed Pokémon,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
045,Vileplume,"Grass,Poison","Fire,Ice,Flying,Psychic",,75,80,85,110,90,50,1.2,18.6,Gen I,Kanto,Sea Route 21 (Lets Go Pikachu),Flower Pokémon,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud.
046,Paras,"Bug,Grass","Fire,Ice,Poison,Flying,Bug,Rock",047,35,70,55,45,55,25,0.3,5.4,Gen I,Kanto,Mt. Moon (Red),Mushroom Pokémon,Sometimes seen at the foot of trees in humid forests. The mushrooms on its back—called tochukaso—are not present on infant specimens and instead emerge as Paras matures.,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
047,Parasect,"Bug,Grass","Fire,Ice,Poison,Flying,Bug,Rock",,60,95,80,60,80,30,1.0,29.5,Gen I,Kanto,Safari Zone (Red),Mushroom Pokémon,"Mushroom-lacking specimens of this Pokémon lie unmoving in the forest, lending credence to the hypothesis that the large mushroom is in control of Parasect's actions.",A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
048,Venonat,"Bug,Poison","Fire,Flying,Psychic,Rock",049,60,55,50,40,55,45,1.0,30.0,Gen I,Kanto,Route 12 (Red),Insect Pokémon,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
049,Venomoth,"Bug,Poison","Fire,Flying,Psychic,Rock",,70,65,60,90,75,90,1.5,12.5,Gen I,Kanto,Victory Road (Red),Poison Moth Pokémon,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
050,Diglett,Ground,"Water,Grass,Ice",051,10,55,25,35,45,95,0.2,0.8,Gen I,Kanto,Diglett's Cave (Red),Mole Pokémon,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot.",Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
051,Dugtrio,Ground,"Water,Grass,Ice",,35,100,50,50,70,120,0.7,33.3,Gen I,Kanto,Diglett's Cave (Red),Mole Pokémon,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.,Has the highest base Speed (120) of all 67 Ground-type Pokémon.
052,Meowth,Normal,Fighting,053,40,45,35,40,40,90,0.4,4.2,Gen I,Kanto,Route 5 (Blue),Scratch Cat Pokémon,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
053,Persian,Normal,Fighting,,65,70,60,65,65,115,1.0,32.0,Gen I,Kanto,Route 7 (Silver),Classy Cat Pokémon,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
054,Psyduck,Water,"Electric,Grass",055,50,52,48,65,50,55,0.8,19.6,Gen I,Kanto,Seafoam Islands (Red),Duck Pokémon,"Suffers perpetual headaches. If the agony grows too great, Psyduck's latent power erupts, contrary to Psyduck's intent. Ergo, I am exploring ways to ease the pain.","While lulling its enemies with its vacant look, this wily Pokémon will use psychokinetic powers."
055,Golduck,Water,"Electric,Grass",,80,82,78,95,80,85,1.7,76.6,Gen I,Kanto,Seafoam Islands (Red),Duck Pokémon,"Its body is strong, and it has webbing on its hands and feet. Golduck can swim easily through rough seas, clawing its way through the high waves.","Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
056,Mankey,Fighting,"Flying,Psychic,Fairy",057,40,80,35,35,45,70,0.5,28.0,Gen I,Kanto,Route 5 (Red),Pig Monkey Pokémon,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
057,Primeape,Fighting,"Flying,Psychic,Fairy",,65,105,60,60,70,95,1.0,32.0,Gen I,Kanto,Route 23 (Yellow),Pig Monkey Pokémon,It stops being angry only when nobody else is around. To view this moment is very difficult.,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
058,Growlithe,Fire,"Water,Ground,Rock",059,55,70,45,70,50,60,0.7,19.0,Gen I,Kanto,Route 7 (Red),Puppy Pokémon,They patrol their territory in pairs. I believe the igneous rock components in the fur of this species are the result of volcanic activity in its habitat.,Very protective of its territory. It will bark and bite to repel intruders from its space.
059,Arcanine,Fire,"Water,Ground,Rock",,90,110,80,100,80,95,1.9,155.0,Gen I,Kanto,Route 7 (Lets Go Pikachu),Legendary Pokémon,"Snaps at its foes with fangs cloaked in blazing flame. Despite its bulk, it deftly feints every which way, leading opponents on a deceptively merry chase as it all but dances around them.",A Pokémon that has been admired since the past for its beauty. It runs agilely as if on wings.
060,Poliwag,Water,"Electric,Grass",061,40,50,40,40,40,90,0.6,12.4,Gen I,Kanto,Pallet Town (Red),Tadpole Pokémon,"In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup.",Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
061,Poliwhirl,Water,"Electric,Grass",062,65,65,65,50,50,90,1.0,20.0,Gen I,Kanto,Route 10 (Red),Tadpole Pokémon,"This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape.","Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
062,Poliwrath,"Water,Fighting","Electric,Grass,Flying,Psychic,Fairy",,90,95,95,70,90,70,1.3,54.0,Gen I,Kanto,Victory Road (Black),Tadpole Pokémon,Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
063,Abra,Psychic,"Bug,Ghost,Dark",064,25,20,15,105,55,90,0.9,19.5,Gen I,Kanto,Route 24 (Red),Psi Pokémon,"Spends 18 hours of the day sleeping. Even while asleep, Abra can control its psychic powers—should danger approach, the Pokémon will simply teleport away.","Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
064,Kadabra,Psychic,"Bug,Ghost,Dark",065,40,35,30,120,70,105,1.3,56.5,Gen I,Kanto,Cerulean Cave (Red),Psi Pokémon,"There are rumors that a child with mystical powers became a Kadabra; however, this remains unverified. I suspect that the spoon Kadabra holds enhances its brain waves.",It emits special alpha waves from its body that induce headaches just by being close by.
065,Alakazam,Psychic,"Bug,Ghost,Dark",,55,50,45,135,95,120,1.5,48.0,Gen I,Kanto,Accumula Town (Black 2),Psi Pokémon,"The longer Alakazam lives, the larger and heavier its head becomes. Our tests have shown that the strength of its psychic powers correlates positively to the weight of its head.","Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
066,Machop,Fighting,"Flying,Psychic,Fairy",067,70,80,50,35,35,35,0.8,19.5,Gen I,Kanto,Rock Tunnel (Red),Superpower Pokémon,"Though as small as a child, it has strength enough to easily throw a well-built adult. Striving to become ever stronger, Machop trains by carrying a Graveler on its shoulders.",Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
067,Machoke,Fighting,"Flying,Psychic,Fairy",068,80,100,70,50,60,45,1.5,70.5,Gen I,Kanto,Victory Road (Red),Superpower Pokémon,A sturdy creature boasting a robust physique and boundless stamina. Loves training above all else and voluntarily assists with tasks such as construction and clearing land.,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
068,Machamp,Fighting,"Flying,Psychic,Fairy",,90,130,80,65,85,55,1.6,130.0,Gen I,Kanto,Giant's Mirror (Sword),Superpower Pokémon,"In close combat, its four arms afford it offensive and defensive supremacy. In but a blink, this valiant Pokémon can overwhelm its foes with more than 1,000 blows from its fists.","Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
069,Bellsprout,"Grass,Poison","Fire,Ice,Flying,Psychic",070,50,75,35,70,30,40,0.7,4.0,Gen I,Kanto,Route 5 (Blue),Flower Pokémon,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,A carnivorous Pokémon that traps and eats bugs. It uses its root feet to soak up needed moisture.
070,Weepinbell,"Grass,Poison","Fire,Ice,Flying,Psychic",071,65,90,50,85,45,55,1.0,6.4,Gen I,Kanto,Route 12 (Blue),Flycatcher Pokémon,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
071,Victreebel,"Grass,Poison","Fire,Ice,Flying,Psychic",,80,105,65,100,70,70,1.7,15.5,Gen I,Kanto,Sea Route 21 (Lets Go Eevee),Flycatcher Pokémon,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.","Said to live in huge colonies deep in jungles, although no one has ever returned from there."
072,Tentacool,"Water,Poison","Electric,Ground,Psychic",073,40,40,35,50,100,70,0.9,45.5,Gen I,Kanto,Sea Route 19 (Red),Jellyfish Pokémon,"They fire beams from the glassy, magenta orbs that resemble eyes atop their heads, and they drift in shallow seas. During low tide, they can sometimes be found on beaches, desiccated.",Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
073,Tentacruel,"Water,Poison","Electric,Ground,Psychic",,80,70,65,80,120,100,1.6,55.0,Gen I,Kanto,Sea Route 19 (Yellow),Jellyfish Pokémon,"It has 80 tentacles, each with a venomous tip. These tentacles are also extendible, lengthening when Tentacruel attempts to catch prey. Use caution.","The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
074,Geodude,"Rock,Ground","Water,Grass,Ice,Fighting,Ground,Steel",075,40,80,100,30,30,20,0.4,20.0,Gen I,Kanto,Mt. Moon (Red),Rock Pokémon,"Makes its home in mountainous regions, using its arms to climb along harsh mountain roads. Can be troublesome—carelessly kicking one will cause it to fly into a rage and chase after you.","Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
075,Graveler,"Rock,Ground","Water,Grass,Ice,Fighting,Ground,Steel",076,55,95,115,45,45,35,1.0,105.0,Gen I,Kanto,Victory Road (Red),Rock Pokémon,"Dwells in holes dug into sheer walls of stone. It enjoys rolling down slopes as though it were a boulder during a rockfall, so keep an eye upward while traversing mountain roads.",Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
076,Golem,"Rock,Ground","Water,Grass,Ice,Fighting,Ground,Steel",,80,120,130,55,65,45,1.4,300.0,Gen I,Kanto,Johto Safari Zone (Heartgold),Megaton Pokémon,"The rocklike shell is shed each year. The cast-off shell then crumbles, reverting to a mass of soil, which can be spread across fields to promote crop growth.",Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
077,Ponyta,Fire,"Water,Ground,Rock",078,50,85,55,65,65,90,1.0,30.0,Gen I,Kanto,Pokémon Mansion (Red),Fire Horse Pokémon,"These Pokémon live in herds out in the grassland. Newborn foals lack their fiery manes, which will develop about an hour after birth.",Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
078,Rapidash,Fire,"Water,Ground,Rock",,65,100,70,80,80,105,1.7,95.0,Gen I,Kanto,Mt. Silver (Gold),Fire Horse Pokémon,"Fiery mane aglow, Rapidash darts like an arrow across the land. This prodigiously swift creature can traverse the vast region of Hisui in a day and a half.","Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it."
079,Slowpoke,"Water,Psychic","Electric,Grass,Bug,Ghost,Dark",080,90,65,65,40,40,15,1.2,36.0,Gen I,Kanto,Seafoam Islands (Red),Dopey Pokémon,"When this Pokémon’s tail is soaked in water, sweetness seeps from it. Slowpoke uses this trait to lure in and fish up other Pokémon.",Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
080,Slowbro,"Water,Psychic","Electric,Grass,Bug,Ghost,Dark",,95,75,110,100,80,30,1.6,78.5,Gen I,Kanto,Seafoam Islands (Red),Hermit Crab Pokémon,"Being bitten by a Shellder shocked this Pokémon into standing on two legs. If the Shellder lets go, it seems Slowbro will turn back into a Slowpoke.",The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
081,Magnemite,"Electric,Steel","Fire,Fighting,Ground",082,25,35,70,95,55,45,0.3,6.0,Gen I,Kanto,Kanto Power Plant (Red),Magnet Pokémon,"A bizarre Pokémon with but a single eye embedded in an iron sphere. I suspect this creature levitates due to the magnetism it emits from its arms, which resemble horseshoe-shaped magnets.",Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
082,Magneton,"Electric,Steel","Fire,Fighting,Ground",,50,60,95,120,70,70,1.0,60.0,Gen I,Kanto,Kanto Power Plant (Red),Magnet Pokémon,"Three Magnemite gathered to evolve into this Pokémon. The source of much vexation on my part, as its powerful magnetism destroys my research equipment.",Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
083,Farfetch'd,"Normal,Flying","Electric,Ice,Rock",,52,90,55,58,62,60,0.8,15.0,Gen I,Kanto,Vermilion City (Red),Wild Duck Pokémon,"They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.",The sprig of green onions it holds is its weapon. It is used much like a metal sword.
084,Doduo,"Normal,Flying","Electric,Ice,Rock",085,35,85,45,35,35,75,1.4,39.2,Gen I,Kanto,Route 16 (Red),Twin Bird Pokémon,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
085,Dodrio,"Normal,Flying","Electric,Ice,Rock",,60,110,70,60,60,110,1.8,85.2,Gen I,Kanto,Cerulean Cave (Red),Triple Bird Pokémon,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
086,Seel,Water,"Electric,Grass",087,65,45,55,45,70,45,1.1,90.0,Gen I,Kanto,Seafoam Islands (Red),Sea Lion Pokémon,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,The protruding horn on its head is very hard. It is used for bashing through thick ice.
